,Unnamed: 0,pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
47767,3398,CH,2024-09-20,90.6,-2.38,5.1,"Henriquez, Ronny",646240,678692,strikeout,called_strike,,,,,7.0,Rafael Devers called out on strikes.,R,L,R,BOS,MIN,S,2.0,,2,2,2024,-1.35,0.43,-0.71,1.53,,,680776.0,0,9,Bot,,,,,,,7.091432646769325,-131.70717208472152,-3.9188028867546967,-17.267223687060874,27.406263665213988,-26.545938125559232,3.41,1.52,,,,91.1,1586.0,6.6,746905,543877,467793,650489,686797,621043,663616,621439,670242,53.9,,0.0,0.0,1.0,0.0,0.0,,76,6,Changeup,1,1,1,1,1,1,1,1,Infield shade,Standard,240.0,-0.076,-0.342,,,,0.342,,0,0,0.708,0.708,24,27,24,28,1,4,2.0,1.0,,,2.35,1.35,-1.35,33.3
47768,3525,FF,2024-09-20,94.9,-2.06,5.5,"Henriquez, Ronny",646240,678692,,ball,,,,,11.0,Rafael Devers called out on strikes.,R,L,R,BOS,MIN,B,,,1,2,2024,-1.11,1.53,-1.59,3.63,,,680776.0,0,9,Bot,,,,,,,3.721361624850958,-138.1812753542195,-2.6448523657659737,-15.04010358438976,33.0294879931275,-12.305020480261875,3.44,1.63,,,,94.9,2388.0,6.4,746905,543877,467793,650489,686797,621043,663616,621439,670242,54.07,,,,,,,,76,5,4-Seam Fastball,1,1,1,1,1,1,1,1,Infield shade,Standard,207.0,0.0,0.067,,,,-0.067,,0,0,0.708,0.708,24,27,24,28,1,4,2.0,1.0,,,1.02,1.11,-1.11,47.5
47769,3614,SL,2024-09-20,85.3,-1.92,5.34,"Henriquez, Ronny",646240,678692,,foul,,,,,6.0,Rafael Devers called out on strikes.,R,L,R,BOS,MIN,S,,,1,2,2024,0.45,0.05,0.49,2.21,,,680776.0,0,9,Bot,,,,,,,4.777110691425627,-124.1037675164244,-1.128160340845409,3.641418680255489,25.87576842150142,-31.6277708511654,3.44,1.57,273.0,102.6,17.0,85.4,2302.0,6.5,746905,543877,467793,650489,686797,621043,663616,621439,670242,54.03,,,,,,,,76,4,Slider,1,1,1,1,1,1,1,1,Infield shade,Standard,97.0,0.0,0.0,71.8,8.1,,0.0,102.6,0,0,0.708,0.708,24,27,24,28,1,4,2.0,1.0,,,3.09,-0.45,0.45,45.8
47770,3792,FF,2024-09-20,94.7,-2.03,5.61,"Henriquez, Ronny",646240,678692,,foul,,,,,4.0,Rafael Devers called out on strikes.,R,L,R,BOS,MIN,S,,,1,1,2024,-0.84,1.59,-0.45,2.75,,,680776.0,0,9,Bot,,,,,,,6.012723326470856,-137.69911478724077,-5.289007689775882,-12.103492650857596,33.502975425475405,-10.999811062199464,3.44,1.57,237.0,88.3,58.0,94.3,2506.0,6.3,746905,543877,467793,650489,686797,621043,663616,621439,670242,54.19,,,,,,,,76,3,4-Seam Fastball,1,1,1,1,1,1,1,1,Infield shade,Standard,213.0,0.0,-0.074,77.4,7.5,,0.074,88.3,0,0,0.708,0.708,24,27,24,28,1,4,2.0,1.0,,,0.97,0.84,-0.84,48.8
47771,3984,CH,2024-09-20,89.2,-2.41,5.2,"Henriquez, Ronny",646240,678692,,blocked_ball,,,,,13.0,Rafael Devers called out on strikes.,R,L,R,BOS,MIN,B,,,0,1,2024,-1.72,0.4,-1.21,0.57,,,680776.0,0,9,Bot,,,,,,,6.554624361551865,-129.47278454765316,-6.10063317437404,-20.67921573355812,31.47570813338797,-26.41240180943268,3.44,1.6,,,,88.5,1489.0,6.3,746905,543877,467793,650489,686797,621043,663616,621439,670242,54.15,,,,,,,,76,2,Changeup,1,1,1,1,1,1,1,1,Infield shade,Standard,244.0,0.0,0.052,,,,-0.052,,0,0,0.708,0.708,24,27,24,28,1,4,2.0,1.0,,,2.51,1.72,-1.72,32.7
47772,4045,SL,2024-09-20,88.0,-2.23,5.11,"Henriquez, Ronny",646240,678692,,foul,,,,,14.0,Rafael Devers called out on strikes.,R,L,R,BOS,MIN,S,,,0,0,2024,0.15,0.22,1.38,2.1,,,680776.0,0,9,Bot,,,,,,,8.487767082908649,-127.84315622094736,-1.5227487222002225,-0.4989571702424895,31.20588168265717,-29.65713045554788,3.44,1.57,101.0,96.5,5.0,87.7,2366.0,6.6,746905,543877,467793,650489,686797,621043,663616,621439,670242,53.91,,,,,,,,76,1,Slider,1,1,1,1,1,1,1,1,Standard,Standard,143.0,0.0,-0.063,68.8,7.8,,0.063,96.5,0,0,0.708,0.708,24,27,24,28,1,4,2.0,1.0,,,2.78,-0.15,0.15,36.9
47832,2984,FF,2024-09-20,96.6,-2.69,5.55,"Sands, Cole",646240,663485,strikeout,foul_tip,,,,,9.0,Rafael Devers strikes out on a foul tip.,R,L,R,BOS,MIN,S,2.0,,2,2,2024,-0.95,1.14,0.36,1.98,,678882.0,,1,7,Bot,,,,,,,10.208530907017094,-140.30561228517158,-6.519424758304489,-14.843789169088511,30.257776019240406,-15.791692860037404,3.44,1.57,,,,96.2,2396.0,6.1,746905,543877,467793,650489,669304,621043,663616,621439,670242,54.44,,0.0,0.0,1.0,0.0,0.0,,60,5,4-Seam Fastball,1,1,1,1,1,1,1,1,Infield shade,Standard,226.0,-0.06,-0.265,73.8,7.2,,0.265,,0,0,0.624,0.624,26,27,27,28,1,3,1.0,1.0,2.0,,1.3,0.95,-0.95,23.6
47833,3159,FS,2024-09-20,88.6,-2.69,5.45,"Sands, Cole",646240,663485,,blocked_ball,,,,,13.0,Rafael Devers strikes out on a foul tip.,R,L,R,BOS,MIN,B,,,1,2,2024,-1.36,-0.09,-0.12,0.51,,678882.0,,1,7,Bot,,,,,,,9.02042012707807,-128.60857553936327,-5.712208944222119,-16.988801955019085,28.977616567898146,-32.076204336281975,3.54,1.75,,,,87.5,1717.0,5.9,746905,543877,467793,650489,669304,621043,663616,621439,670242,54.6,,,,,,,,60,4,Split-Finger,1,1,1,1,1,1,1,1,Infield shade,Standard,250.0,0.0,0.022,,,,-0.022,,0,0,0.624,0.624,26,27,27,28,1,3,1.0,1.0,2.0,,3.03,1.36,-1.36,27.8
47834,3232,CU,2024-09-20,83.0,-2.77,5.53,"Sands, Cole",646240,663485,,swinging_strike,,,,,5.0,Rafael Devers strikes out on a foul tip.,R,L,R,BOS,MIN,S,,,1,1,2024,1.04,-0.69,-0.06,2.75,,678882.0,,1,7,Bot,,,,,,,4.111327773581932,-120.634649460398,1.561099656169229,9.05564790535816,28.271191846981303,-39.41676843440828,3.44,1.57,,,,81.2,3008.0,5.6,746905,543877,467793,650489,669304,621043,663616,621439,670242,54.93,,,,,,,,60,3,Curveball,1,1,1,1,1,1,1,1,Infield shade,Standard,44.0,0.0,-0.076,69.0,6.6,,0.076,,0,0,0.624,0.624,26,27,27,28,1,3,1.0,1.0,2.0,,4.06,-1.04,1.04,21.6
47835,3401,FC,2024-09-20,91.5,-2.68,5.78,"Sands, Cole",646240,663485,,ball,,,,,12.0,Rafael Devers strikes out on a foul tip.,R,L,R,BOS,MIN,B,,,0,1,2024,0.15,0.64,0.58,3.83,,678882.0,,1,7,Bot,,,,,,,7.809699163396258,-133.14645402323242,-0.4620541793566843,0.1315232965428819,27.55131020709294,-24.64651524312065,3.5,1.62,,,,90.5,2515.0,5.6,746905,543877,467793,650489,669304,621043,663616,621439,670242,54.93,,,,,,,,60,2,Cutter,1,1,1,1,1,1,1,1,Standard,Standard,200.0,0.0,0.025,,,,-0.025,,0,0,0.624,0.624,26,27,27,28,1,3,1.0,1.0,2.0,,2.07,-0.15,0.15,27.5
47836,3487,FC,2024-09-20,91.3,-2.53,5.8,"Sands, Cole",646240,663485,,called_strike,,,,,11.0,Rafael Devers strikes out on a foul tip.,R,L,R,BOS,MIN,S,,,0,0,2024,0.05,0.76,-0.34,3.61,,678882.0,,1,7,Bot,,,,,,,5.340157710458219,-132.96266997872127,-1.2576192420590044,-0.5628075414468077,29.182723051880902,-23.154229026918177,3.48,1.61,,,,90.3,2449.0,5.7,746905,543877,467793,650489,669304,621043,663616,621439,670242,54.83,,,,,,,,60,1,Cutter,1,1,1,1,1,1,1,1,Infield shade,Standard,204.0,0.0,-0.045,,,,0.045,,0,0,0.624,0.624,26,27,27,28,1,3,1.0,1.0,2.0,,1.98,-0.05,0.05,29.5
47900,6,CH,2024-09-20,88.3,-2.45,6.13,"Festa, David",646240,701581,walk,ball,,,,,11.0,Rafael Devers walks.   Jarren Duran to 2nd.,R,L,R,BOS,MIN,B,,,3,2,2024,-1.28,0.93,-1.48,3.09,,,680776.0,1,5,Bot,,,,,,,5.016105197030536,-128.4922365043102,-3.3003767049017005,-15.172756550010986,25.29438499457468,-21.38415989916908,3.52,1.63,,,,88.8,1864.0,6.5,746905,543877,467793,650489,669304,621043,663616,621439,670242,54.01,,0.689131,0.7,1.0,0.0,0.0,,41,6,Changeup,1,0,1,0,0,1,1,0,Infield shade,Standard,223.0,0.032,0.305,,,,-0.305,,1,1,0.715,0.715,24,27,24,28,3,2,5.0,1.0,6.0,,1.98,1.28,-1.28,50.6
47901,9,CH,2024-09-20,88.1,-2.78,6.05,"Festa, David",646240,701581,,ball,,,,,11.0,Rafael Devers walks.   Jarren Duran to 2nd.,R,L,R,BOS,MIN,B,,,2,2,2024,-1.07,0.63,-1.81,2.73,,,680776.0,1,5,Bot,,,,,,,4.625408229255925,-128.31230928101675,-3.3734755732397184,-12.800770261200276,22.96007868115299,-24.72579525690021,3.48,1.66,,,,89.0,1934.0,6.5,746905,543877,467793,650489,669304,621043,663616,621439,670242,53.98,,,,,,,,41,5,Changeup,1,0,1,0,0,1,1,0,Infield shade,Standard,222.0,0.0,0.09,,,,-0.09,,1,1,0.715,0.715,24,27,24,28,3,2,5.0,1.0,6.0,,2.27,1.07,-1.07,48.0
47902,10,FF,2024-09-20,93.1,-2.19,6.24,"Festa, David",646240,701581,,ball,,,,,11.0,Rafael Devers walks.   Jarren Duran to 2nd.,R,L,R,BOS,MIN,B,,,1,2,2024,0.13,1.47,-2.16,4.48,,,680776.0,1,5,Bot,,,,,,,-0.2173745321895893,-135.61828729709572,-1.9797411877694568,1.610778576170085,30.302837272256262,-13.86787583176545,3.49,1.64,,,,93.7,2349.0,6.6,746905,543877,467793,650489,669304,621043,663616,621439,670242,53.89,,,,,,,,41,4,4-Seam Fastball,1,0,1,0,0,1,1,0,Infield shade,Standard,195.0,0.0,0.056,,,,-0.056,,1,1,0.715,0.715,24,27,24,28,3,2,5.0,1.0,6.0,,1.16,-0.13,0.13,55.3
47903,16,FF,2024-09-20,94.4,-2.03,6.29,"Festa, David",646240,701581,,ball,,,,,11.0,Rafael Devers walks.   Jarren Duran to 2nd.,R,L,R,BOS,MIN,B,,,0,2,2024,-0.49,1.54,-1.54,3.27,,,680776.0,1,5,Bot,,,,,,,2.3958583014606085,-137.3612218717929,-5.684132861666724,-6.702380613608415,30.21382453723224,-11.576084010590913,3.48,1.59,,,,95.5,2415.0,6.9,746905,543877,467793,650489,669304,621043,663616,621439,670242,53.6,,,,,,,,41,3,4-Seam Fastball,1,0,1,0,0,1,1,0,Infield shade,Standard,204.0,0.0,0.026,,,,-0.026,,1,1,0.715,0.715,24,27,24,28,3,2,5.0,1.0,6.0,,1.01,0.49,-0.49,58.3
47904,21,SL,2024-09-20,84.5,-2.27,6.01,"Festa, David",646240,701581,,foul,,,,,7.0,Rafael Devers walks.   Jarren Duran to 2nd.,R,L,R,BOS,MIN,S,,,0,1,2024,0.3,-0.03,-0.38,2.15,,,680776.0,1,5,Bot,,,,,,,3.8223591140084734,-123.00582146402412,-2.598004638385724,2.3110137711797014,24.49000521572065,-32.12484187702567,3.44,1.57,185.0,72.2,38.0,85.0,2473.0,6.6,746905,543877,467793,650489,669304,621043,663616,621439,670242,53.89,,,,,,,,41,2,Slider,1,0,1,0,0,1,1,0,Infield shade,Standard,83.0,0.0,-0.061,71.8,7.3,,0.061,88.0,1,1,0.715,0.715,24,27,24,28,3,2,5.0,1.0,6.0,,3.22,-0.3,0.3,57.2
47905,28,FF,2024-09-20,93.5,-1.92,6.21,"Festa, David",646240,701581,,foul,,,,,2.0,Rafael Devers walks.   Jarren Duran to 2nd.,R,L,R,BOS,MIN,S,,,0,0,2024,0.12,1.75,-0.03,3.32,,,680776.0,1,5,Bot,,,,,,,4.657831847175939,-135.99953616196947,-5.549510051262171,0.269402410419268,33.46154740893415,-9.509000738100436,3.44,1.57,151.0,78.3,12.0,93.9,2478.0,6.8,746905,543877,467793,650489,669304,621043,663616,621439,670242,53.68,,,,,,,,41,1,4-Seam Fastball,1,0,1,0,0,1,1,0,Infield shade,Standard,189.0,0.0,-0.047,70.2,6.7,,0.047,88.0,1,1,0.715,0.715,24,27,24,28,3,2,5.0,1.0,6.0,,0.89,-0.12,0.12,60.4
